Event,Zone,Region,latitude,longitude
Flood - Widespread Queensland,"Blackall , Cairns , Charleville , Charters Towers , Longreach , Mackay , Mount Isa , Townsville , Winton","Blackall , Cairns , Charleville , Charters Towers , Longreach , Mackay , Mount Isa , Townsville , Winton",-21.643655,145.187937
Flood - Tasmania,"Hobart , Launceston","Hobart , Launceston",-42.232823,147.195396
Flood - Widespread Coastal,"Brisbane , Cairns , Lismore (QLD) , Townsville","Brisbane , Cairns , Lismore (QLD) , Townsville",-22.870187,149.518506
Flood - Queensland South Coast,"Brisbane , Dubbo","Brisbane , Dubbo",-29.634651,151.075267
Flood - South East Queensland,Brisbane,Brisbane,-27.394355,153.174944
"Flood - Toowoomba, Miles, Cairns, and Townsville","Brisbane , Cairns , Roma , Townsville","Brisbane , Cairns , Roma , Townsville",-22.404776,148.784375
"Flood - Toowoomba, Miles, Cairns, and Townsville",Cairns,Cairns,-16.769801,145.954364
Flood - Hughenden,Hughenden,Hughenden,-20.716018,144.227424
Flood - Clermont and Peak Downs,Clermont,Clermont,-22.823941,147.636531
Bolwara Flood,Bolwarra,Bolwarra,-32.684374,151.504998
