Event,Category,State,Fatalities,Insured Cost,Start Date,End Date,URL
Cyclone Marcia,Cyclone,Shoalwater Bay,,404000000.0,2015-02-15 00:00:00,2015-02-26 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-marcia-queensland/
Cyclone Oswald,Cyclone,Cape York Peninsula,6.0,1100000000.0,2013-01-21 00:00:00,,https://knowledge.aidr.org.au/resources/cyclone-oswald-queensland-new-south-wales-2013/
Cyclone Yasi,Cyclone,"Ayr , Cairns , Townsville",1.0,1405000000.0,2011-02-02 00:00:00,2011-02-03 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-yasi-queensland-2011/
Cyclone George,Cyclone,Port Hedland,3.0,8000000.0,2007-03-03 00:00:00,2007-03-08 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-george-western-australia/
Cyclone Larry,Cyclone,Cairns,,540000000.0,2006-03-20 00:00:00,2006-03-20 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-larry-north-queensland/
Cyclone Tessi,Cyclone,Townsville,,15000000.0,2000-04-02 00:00:00,2000-04-04 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-tessi-queensland/
Cyclone Steve,Cyclone,Cairns,1.0,11000000.0,2000-02-27 00:00:00,2000-03-09 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-steve-queensland/
Cyclone Vance,Cyclone,"Dampier , Exmouth Gulf , Port Hedland",,35000000.0,1999-03-18 00:00:00,1999-03-24 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-vance-western-australia/
Cyclone Justin,Cyclone,"Cairns , Townsville",2.0,,1997-03-06 00:00:00,1997-03-24 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-justin-north-queensland-1997/
Cyclone Bobby,Cyclone,Dampier,8.0,11000000.0,1995-02-24 00:00:00,1995-02-27 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-bobby-western-australia/
Cyclone Rewa,Cyclone,Brisbane,4.0,,1993-12-31 00:00:00,1994-01-25 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-rewa-queensland-1993/
Cyclone Nancy,Cyclone,"Brisbane , Lismore (QLD)",6.0,33000000.0,1990-02-03 00:00:00,1990-02-07 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-nancy-queensland/
Cyclone Aivu,Cyclone,"Brisbane , Lismore (QLD) , Mackay , Rockhampton , Lismore (NSW)",3.0,26000000.0,1989-04-04 00:00:00,1989-04-20 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-aivu-queensland-and-new-south-wales-1989/
Cyclone Herbie,Cyclone,Dampier,,20000000.0,1988-05-21 00:00:00,1988-05-22 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-herbie-western-australia/
Cyclone Winifred,Cyclone,Cairns,3.0,40000000.0,1986-01-27 00:00:00,1986-02-05 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-winifred-queensland/
Cyclone Hazel,Cyclone,Carnarvon,15.0,15000000.0,1979-03-01 00:00:00,1979-03-01 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-hazel-western-australia-1979/
Cyclone Alby,Cyclone,Perth,5.0,13000000.0,1978-03-27 00:00:00,1978-04-04 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-alby-western-australia-1978/
Cyclone Joan,Cyclone,Port Hedland,,20000000.0,1975-12-08 00:00:00,1975-12-09 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-joan-western-australia/
Cyclone Tracy,Cyclone,Darwin,71.0,200000000.0,1974-12-25 00:00:00,1974-12-25 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-tracy-darwin-1974/
Cyclone Emily,Cyclone,"Bundaberg , Rockhampton",8.0,,1972-03-27 00:00:00,1972-04-02 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-emily-queensland/
Cyclone Althea,Cyclone,Townsville,3.0,25000000.0,1971-12-24 00:00:00,1971-12-27 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-althea-queensland/
Cyclone Ada,Cyclone,Mackay,14.0,12000000.0,1970-01-17 00:00:00,1970-01-19 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-ada-queensland/
Cyclone Audrey,Cyclone,Coburg Peninsula,4.0,,1969-02-28 00:00:00,1969-03-09 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-audrey-northern-territory-1969/
Cyclone Glenda,Cyclone,Brisbane,6.0,,1967-04-02 00:00:00,1967-04-04 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-glenda-queensland-1967/
Cyclone Agnes,Cyclone,Cairns,4.0,,1956-03-06 00:00:00,1956-03-07 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cyclone-agnes-queensland/
Cyclone - Mackay,Cyclone,Mackay,8.0,,1955-03-07 00:00:00,1955-03-07 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-mackay-queensland-1955/
Cyclone - The Great Gold coast cyclone Southern Queensland and Northern New South Wales,Cyclone,"Brisbane , Lismore (QLD)",26.0,,1954-02-19 00:00:00,1954-02-22 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-the-great-gold-coast-cyclone-queensland/
Cyclone - TC119 Coastal Queensland and New South Wales,Cyclone,"Brisbane , Cairns , Sydney",7.0,,1950-01-16 00:00:00,1950-01-19 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-coastal-queensland-and-new-south-wales/
Cyclone - Rockhampton,Cyclone,"Bundaberg , Rockhampton",4.0,,1949-03-02 00:00:00,1949-03-03 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-rockhampton-queensland/
Cyclone - Cape York and Townsville,Cyclone,"Cairns , Townsville",75.0,,1934-03-12 00:00:00,1934-03-13 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-cape-york-and-townsville-queensland/
Cyclone - Innisfail ,Cyclone,Cairns,37.0,,1918-03-10 00:00:00,1918-03-10 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-innisfail-queensland-1918/
Cyclone - Mackay ,Cyclone,Mackay,30.0,,1918-01-20 00:00:00,1918-01-22 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-mackay-queensland-1918/
Cyclone - Balla Balla,Cyclone,Port Hedland,173.0,,1912-03-20 00:00:00,1912-03-22 00:00:00,https://knowledge.aidr.org.au/resources/cyclone-balla-balla-queensland-1912/
"Cyclone - Broome, Lacepede Islands",Cyclone,"Broome, Lacepede Islands",142.0,,1935-03-25 00:00:00,,https://knowledge.aidr.org.au/resources/cyclone-broome-lacepede-island-western-australia-1935/
